Time stamp: 03/12/2006 18:47:12
Program name: C:\CCStudio_v3.1_EVAL\MyProjects\mandel_C6713\Debug\timer1.out


Tab name: Profiler
Address Range, Symbol Name, SLR, Symbol Type, Access Count, cycle.Total: Incl. Total, cycle.Total: Excl. Total, 
0:0x10f30-0x1104c, mandelinit, 149-159:main_timer1.c, function, 1, 429727, 429617, 
0:0x1104c-0x11214, mandsub, 168-186:main_timer1.c, function, 16384, 21562262, 21562262, 
0:0x10da4-0x10e98, main, 127-135:main_timer1.c, loop, 128, 22469114, 710236, 


Tab name: Consultant
Address Range, Symbol Name, SLR, Estimated Cycles Per Iteration, Estimated Startup Cycles, Analysis, Advice Count, Advice List, 


Tab name: CodeSizeTune
Address Range, Symbol Name, 
0:0x10f30-0x1104c, mandelinit, 
0:0x1104c-0x11214, mandsub, 
0:0x10da4-0x10e98, main, 


Tab name: Summary
Event, Count, Percentage, 
Total Cycles, 22900307, , 
NOP cycles, 15052362, 65.73, 
Stall Cycles, 780, 0.00, 
L1P Stall Cycles, 377, 0.00, 
L1D Stall Cycles, 255, 0.00, 
Insructions decoded, 13287300, , 
Instructions executed, 13081590, 98.45, 
Instructions conditioned false, 205710, 1.55, 
Execute Packets, 12710755, , 
Branches taken, 436355, , 
Total Loads, 2864478, , 
Total Stores, 1358728, , 
Instruction cache references, 2569548, , 
Instruction cache hits, 2569450, 100.00, 
Instruction cache misses, 98, 0.00, 
Data cache references, 4223206, , 
Data cache reads, 2864478, 67.83, 
Data cache writes, 1358728, 32.17, 
Data cache hits, 4190319, 99.22, 
Data cache read hits, 2864451, 100.00, 
Data cache write hits, 1325868, 97.58, 
Data cache misses, 32887, 0.78, 
Data cache read misses, 27, 0.00, 
Data cache write misses, 32860, 2.42, 
L2 cache references, 0, , 
L2 cache data reads, 0, 0.00, 
L2 cache data writes, 0, 0.00, 
L2 cache instruction reads, 0, 0.00, 
L2 cache hits, 0, 0.00, 
L2 cache data read hits, 0, 0.00, 
L2 cache data write hits, 0, 0.00, 
L2 cache instruction hits, 0, 0.00, 
L2 cache misses, 0, 0.00, 
L2 cache data read misses, 0, 0.00, 
L2 cache data write misses, 0, 0.00, 
L2 cache instruction misses, 0, 0.00, 
L2 SRAM references, 32955, , 
L2 SRAM data reads, 13, 0.04, 
L2 SRAM data writes, 32844, 99.66, 
L2 SRAM instruction reads, 98, 0.30, 
DMA reads from SRAM, 0, , 
DMA writes to SRAM, 0, , 


